index,price,highway-mpg,city-mpg,peak-rpm,horsepower,engine-size,num-of-cylinders,curb-weight,height,width,length,wheel-base,drive-wheels,body-style,num-of-doors,fuel-type,make
0,13495.0,27,21,5000.0,111.0,130,4,2548,48.8,64.1,168.8,88.6,rwd,convertible,2.0,gas,alfa-romero
1,16500.0,27,21,5000.0,111.0,130,4,2548,48.8,64.1,168.8,88.6,rwd,convertible,2.0,gas,alfa-romero
2,16500.0,26,19,5000.0,154.0,152,6,2823,52.4,65.5,171.2,94.5,rwd,hatchback,2.0,gas,alfa-romero
3,13950.0,30,24,5500.0,102.0,109,4,2337,54.3,66.2,176.6,99.8,fwd,sedan,4.0,gas,audi
4,17450.0,22,18,5500.0,115.0,136,5,2824,54.3,66.4,176.6,99.4,4wd,sedan,4.0,gas,audi
5,15250.0,25,19,5500.0,110.0,136,5,2507,53.1,66.3,177.3,99.8,fwd,sedan,2.0,gas,audi
6,17710.0,25,19,5500.0,110.0,136,5,2844,55.7,71.4,192.7,105.8,fwd,sedan,4.0,gas,audi
7,18920.0,25,19,5500.0,110.0,136,5,2954,55.7,71.4,192.7,105.8,fwd,wagon,4.0,gas,audi
8,23875.0,20,17,5500.0,140.0,131,5,3086,55.9,71.4,192.7,105.8,fwd,sedan,4.0,gas,audi
9,,22,16,5500.0,160.0,131,5,3053,52.0,67.9,178.2,99.5,4wd,hatchback,2.0,gas,audi
10,16430.0,29,23,5800.0,101.0,108,4,2395,54.3,64.8,176.8,101.2,rwd,sedan,2.0,gas,bmw
11,16925.0,29,23,5800.0,101.0,108,4,2395,54.3,64.8,176.8,101.2,rwd,sedan,4.0,gas,bmw
12,20970.0,28,21,4250.0,121.0,164,6,2710,54.3,64.8,176.8,101.2,rwd,sedan,2.0,gas,bmw
13,21105.0,28,21,4250.0,121.0,164,6,2765,54.3,64.8,176.8,101.2,rwd,sedan,4.0,gas,bmw
14,24565.0,25,20,4250.0,121.0,164,6,3055,55.7,66.9,189.0,103.5,rwd,sedan,4.0,gas,bmw
15,30760.0,22,16,5400.0,182.0,209,6,3230,55.7,66.9,189.0,103.5,rwd,sedan,4.0,gas,bmw
16,41315.0,22,16,5400.0,182.0,209,6,3380,53.7,67.9,193.8,103.5,rwd,sedan,2.0,gas,bmw
17,36880.0,20,15,5400.0,182.0,209,6,3505,56.3,70.9,197.0,110.0,rwd,sedan,4.0,gas,bmw
18,5151.0,53,47,5100.0,48.0,61,3,1488,53.2,60.3,141.1,88.4,fwd,hatchback,2.0,gas,chevrolet
19,6295.0,43,38,5400.0,70.0,90,4,1874,52.0,63.6,155.9,94.5,fwd,hatchback,2.0,gas,chevrolet
20,6575.0,43,38,5400.0,70.0,90,4,1909,52.0,63.6,158.8,94.5,fwd,sedan,4.0,gas,chevrolet
21,5572.0,41,37,5500.0,68.0,90,4,1876,50.8,63.8,157.3,93.7,fwd,hatchback,2.0,gas,dodge
22,6377.0,38,31,5500.0,68.0,90,4,1876,50.8,63.8,157.3,93.7,fwd,hatchback,2.0,gas,dodge
23,7957.0,30,24,5500.0,102.0,98,4,2128,50.8,63.8,157.3,93.7,fwd,hatchback,2.0,gas,dodge
24,6229.0,38,31,5500.0,68.0,90,4,1967,50.6,63.8,157.3,93.7,fwd,hatchback,4.0,gas,dodge
25,6692.0,38,31,5500.0,68.0,90,4,1989,50.6,63.8,157.3,93.7,fwd,sedan,4.0,gas,dodge
26,7609.0,38,31,5500.0,68.0,90,4,1989,50.6,63.8,157.3,93.7,fwd,sedan,4.0,gas,dodge
27,8558.0,30,24,5500.0,102.0,98,4,2191,50.6,63.8,157.3,93.7,fwd,sedan,,gas,dodge
28,8921.0,30,24,5000.0,88.0,122,4,2535,59.8,64.6,174.6,103.3,fwd,wagon,4.0,gas,dodge
29,12964.0,24,19,5000.0,145.0,156,4,2811,50.2,66.3,173.2,95.9,fwd,hatchback,2.0,gas,dodge
30,6479.0,54,49,4800.0,58.0,92,4,1713,50.8,63.9,144.6,86.6,fwd,hatchback,2.0,gas,honda
31,6855.0,38,31,6000.0,76.0,92,4,1819,50.8,63.9,144.6,86.6,fwd,hatchback,2.0,gas,honda
32,5399.0,42,38,5500.0,60.0,79,4,1837,52.6,64.0,150.0,93.7,fwd,hatchback,2.0,gas,honda
33,6529.0,34,30,6000.0,76.0,92,4,1940,52.6,64.0,150.0,93.7,fwd,hatchback,2.0,gas,honda
34,7129.0,34,30,6000.0,76.0,92,4,1956,52.6,64.0,150.0,93.7,fwd,hatchback,2.0,gas,honda
35,7295.0,34,30,6000.0,76.0,92,4,2010,54.5,64.0,163.4,96.5,fwd,sedan,4.0,gas,honda
36,7295.0,34,30,6000.0,76.0,92,4,2024,58.3,63.9,157.1,96.5,fwd,wagon,4.0,gas,honda
37,7895.0,33,27,5800.0,86.0,110,4,2236,53.3,65.2,167.5,96.5,fwd,hatchback,2.0,gas,honda
38,9095.0,33,27,5800.0,86.0,110,4,2289,53.3,65.2,167.5,96.5,fwd,hatchback,2.0,gas,honda
39,8845.0,33,27,5800.0,86.0,110,4,2304,54.1,65.2,175.4,96.5,fwd,sedan,4.0,gas,honda
40,10295.0,33,27,5800.0,86.0,110,4,2372,54.1,62.5,175.4,96.5,fwd,sedan,4.0,gas,honda
41,12945.0,28,24,5800.0,101.0,110,4,2465,54.1,65.2,175.4,96.5,fwd,sedan,4.0,gas,honda
42,10345.0,31,25,5500.0,100.0,110,4,2293,51.0,66.0,169.1,96.5,fwd,sedan,2.0,gas,honda
43,6785.0,29,24,4800.0,78.0,111,4,2337,53.5,61.8,170.7,94.3,rwd,sedan,4.0,gas,isuzu
44,,43,38,5400.0,70.0,90,4,1874,52.0,63.6,155.9,94.5,fwd,sedan,2.0,gas,isuzu
45,,43,38,5400.0,70.0,90,4,1909,52.0,63.6,155.9,94.5,fwd,sedan,4.0,gas,isuzu
46,11048.0,29,24,5000.0,90.0,119,4,2734,51.4,65.2,172.6,96.0,rwd,hatchback,2.0,gas,isuzu
47,32250.0,19,15,4750.0,176.0,258,6,4066,52.8,69.6,199.6,113.0,rwd,sedan,4.0,gas,jaguar
48,35550.0,19,15,4750.0,176.0,258,6,4066,52.8,69.6,199.6,113.0,rwd,sedan,4.0,gas,jaguar
49,36000.0,17,13,5000.0,262.0,326,12,3950,47.8,70.6,191.7,102.0,rwd,sedan,2.0,gas,jaguar
50,5195.0,31,30,5000.0,68.0,91,4,1890,54.1,64.2,159.1,93.1,fwd,hatchback,2.0,gas,mazda
51,6095.0,38,31,5000.0,68.0,91,4,1900,54.1,64.2,159.1,93.1,fwd,hatchback,2.0,gas,mazda
52,6795.0,38,31,5000.0,68.0,91,4,1905,54.1,64.2,159.1,93.1,fwd,hatchback,2.0,gas,mazda
53,6695.0,38,31,5000.0,68.0,91,4,1945,54.1,64.2,166.8,93.1,fwd,sedan,4.0,gas,mazda
54,7395.0,38,31,5000.0,68.0,91,4,1950,54.1,64.2,166.8,93.1,fwd,sedan,4.0,gas,mazda
55,10945.0,23,17,6000.0,101.0,70,2,2380,49.6,65.7,169.0,95.3,rwd,hatchback,2.0,gas,mazda
56,11845.0,23,17,6000.0,101.0,70,2,2380,49.6,65.7,169.0,95.3,rwd,hatchback,2.0,gas,mazda
